date;algorithme;gain;fuel_restant;temps_restant;temps_execution
2026-02-19 10:27:38;GeneticSolver(pop_size=1000, mutation_rate=0.2, generations=1000, k=4);25.0;18037.35;583.9335;37.780720472335815
2026-02-19 10:28:54;SimulatedAnnealing(T_init=300, T_min=0.001, alpha=0.99999, max_iter=3000000);25.0;18037.35;583.9513;55.82408952713013
2026-02-19 10:30:02;MemeticSolver(pop_size=500, mutation_rate=0.2, generations=600, k=3, local_search_depth=50);25.0;18037.66;583.9642;47.80006957054138
2026-02-19 10:30:50;AntColonySolver(n_ants=50, n_iterations=2000, alpha=1.0, beta=2.5, evaporation=0.05, Q=100);25.0;18117.68;584.6248;28.675225496292114
2026-02-19 10:32:25;MCTSSolver(iterations=300000, exploration_weight=1.414);25.0;18192.68;585.4207;76.01583909988403
2026-02-19 10:40:13;SimulatedAnnealing(T_init=300, T_min=0.001, alpha=0.99999, max_iter=3000000);25.0;18038.82;583.9235;54.14092707633972
